reviewstext,reviews_rating,reviews_numhelpful
keyboard works great surface pro 4 provides security comfortable work key spacing good,5,-1
after having couple surfaces keyboards best one yet love fingerprint id logging feel keys also very responsive compared older keyboard versions,5,-1
wish worked seperate tablet way bluetooth connection,3,-1
nice keyboard fingerprint reading does not always work could due windows 10,4,-1
upgrade current surface 2 pro difference obvious keys feel great responsive bit expensive surface not cheap either highly recommend,5,-1
great feeling easy type keyboard back lighting nice variable brightness levels turn off mouse pad smooth responsive decently large added fingerprint scanner nice feature sign into surface accurate can add multiple fingerprints use,5,-1
heard surface pro 4 would keyboard would work surface pro 3 intrigued purchased keyboard impressed greatly keyboard has better layout better feel seems bit more accurate also fingerprint id feature added bonuswhether surface pro 3 4 owner keyboard well worth price,5,-1
purchased surface pro 3 last year weakest link product type cover trackpad too small keys were too close together new type cover changes game trackpad larger more responsive no longer carry wireless mouse around keys better spaced fingerprint reader makes unlocking system breeze cover also backwards compatible pro 3 4 did take away one star because still no store pen otherwise think must upgrade surface pro 3 owner greatly improves usability product,4,-1
really like key spacing fingerprint reader works great,4,-1
wonderful keyboard love fingerprint unlock,5,-1
like smooth key board fingerprint logon very easy use quiet smooth,5,-1
would given 5 stars if could figure out adjust mouse pad sensitivity may take update microsoft hopefully itll come soon gotten used so not big deal anymore,4,-1
so much easier use than regular tablet touch screen snaps off ease,5,-1
addition fingerprint reader better spaced keys larger track pad great improvement over previous surface pro 3 type cover,5,-1
keyboard touchpad must buying surface,5,-1
keyboard just keyboard got magnetic connection into bottom surface pro 4 however times just does not function im not sure if keyboard issue tablet issue either way major pita sometimes keyboard not work soon connect into tablet sometimes just stop working mid typing session due amount glitches experienced surface pro 4 am inclined believe tablet problem however after replacing surface pro 4 brand new one still experience same glitches keyboard say not replaced keyboard so may just faulty product,3,-1
works great typing makes so easy sign into windows fingerprint sensor,5,-1
purchased surface pro 4 facial recognition makes fingerprint scanner keyboard unnecessary 30 difference could used elsewherelike towards external monitor connector,2,1
pretty nice keyboard quick responsive fingerprint reader shouldve included since beginning,5,-1
keyboard great improvement over previous modelkeys spaced out more trackpad larger fingerprint sensor nice touch most people wont need fingerprint version 30 more so unless need get cheaper version,5,-1
feels much better than previous models love addition fingerprint idreally wish came more than just color black though color big part life style blackgrey feels extremely bland thats just personal preference though,4,-1
plenty nice features especially finger print function security,4,-1
extra 30 fingerprint scanner over regular keyboard hard say would miss if gotten regular surface pro 4 already has face recognition loggin into windows extremely convenient finger print only useful dont want line face up camera if print scanner can use website logins then definitely worth maybe theres app havent done research reader itself pretty accurate usually take print first try,4,-1
highly recommend keyboard if surface pro 3 makes experience like new again plus keyboard feels really solid compared old one,5,1
fingerprint id makes loggin so much quicker,5,-1
if buy surface pro 4 need makes much better since touchscreen keyboard not really good not quite like having laptop least physical keyboard,5,-1
not sure do not package these surface must fingerprint login very nice,5,-1
keyboard lot better than earlier versions like feel response found keys raised keys can feel more like real keyboard then anything else,5,-1
nice solid keyboard button presses arent too soft very easy type finger print scanner great logging,4,-1
fingerprint part works well enough trackpad sucks coming great trackpads macs just dont understand windows device cant nice smooth trackpad like macs do keys too firm compared surface pro 3 keyboard mac keyboard returned item,3,-1
im glad shelled out extra cash type cover fingerprint no pin no password touch keyboard enter program simple fast,5,-1
much more user friendly comfortable than last set same company,4,-1
keypad works great fingerprint sensor sometimes has trouble picking up fingerprint,4,-1
keyboard works great fingerprint id speeds login prices adds extra security,5,-1
bit small fingers excellent product,4,-1
thought great keyboard much better than pro 3 keyboard however facial recognition software does same thing fingerprint id so even took back bought cheaper open box surface pro 4 keyboard without id im happy did not worth extra money,4,-1
microsoft has gimmick says surface can replace laptop 90 surface pro 3 major downside being keyboard good keyboard great option first released then after constant use worked fine never felt like real keyboardfinally latest keyboard released sp4 works sp3 feels fantastic functions perfectly much sturdier mouse pad larger more sensitive keys spaced apart better feel better finally fingerprint login option only black keyboard now overall keyboard great well see feel sp5s keyboard comes around,5,-1
ive used tablet keyboards one far best fits perfectly magnetic connection does not come loose response keys nice even though small tablet keyboard fingerprint sensor easy setup accurate easy use used use ipad pro keyboard keyboard recently switched surface keyboard no comparison able do so much more surface,5,-1
keypad itself excellent need issue warning since im using corporate login cant use finger print part least not yet figured out use corporate login,4,-1
did not realize surface uses camera means identification log otherwise wouldnt gotten keyboard fingerprint id however several times camera has taken moment two figure out whats going didnt turn reason so able get logged into surface quickly utilizing fingerprint id every time ive used has worked quickly easily,5,-1
spacing keys improved over earlier versions,5,-1
great keyboard go along sp4 key spacing perfect responsive,5,-1
surface pro type cover fingerprint id has worked flawless surface pro 4 fingerprint id wonderful upgrade makes quick easy get surface pro unlocked ready,5,-1
bit tedious first set up well worth troubleduring initial setup sure touch fingerprint reader repeatedly move finger around multiple positions improve interfaces ability recognize yousometimes not recognize fingerprint just sure touch window kept very cleanonly drawback color only available black really preferred dark blue option available new keypad surface pro 4 having fingerprint interface adds bit wow factor,5,-1
surface pro 3 love am avid user computer support technician replaced older acer i7 laptop one quicker much lighter had older type cover sp3 used happy except touchpad newer sp4 touch keyboard fingerprint much better more responsive feels much more like normal keyboard fingerprint reader gives near instant access desktop rate fantastic,5,-1
great keyboard better than laptop highly recommend product,5,-1
sturdy small perfect travelling fingerprint id very responsive highly recommended,5,-1
perfect product surface pro fast easy access,5,-1
type cover surface pro 4 recommended great space between keys huge improvement fingerprint reader great shortcut getting into instrument,4,-1
great accessory tablet great purchase,5,-1
bought use new surface pro 4 love works great especially like fingerprint reader,5,-1
love fingerprint scan spent e tea money only dont regret feels like full size keyboard id love 10key know thats not really possible,5,-1
great keyboard fingerprint recognition worked 99 time,5,-1
first keyboard broke about 2 months did extensive testing determined hardware failure trackpad only thing not working best buy great returned keyboard even though didnt warranty special case though so wouldnt expect get warranty may need second one works great btw no issues 1 star first one breaking,4,-1
works perfectly surface connect easily,5,-1
finger print scanner eliminates need enter password get makes logging surface pro snap,5,-1
thing great works surface pro 3 outstanding use fingerprint scanner time still havent had issues whole lot easier type being though keys spaced out unlike older keyboard design makes feel typing very legit not like tablet yet feels like one true desktop,5,-1
use surface pro 4 mostly tablet mode not because anything wrong keyboard no complaints about keyboard keys responsive substantial feeling appreciate addition fingerprint scanner well,4,-1
dont waste money finger print id feature great works about 1020 time most time just sign like stupid version keypad cost less,1,-1
keyboard great theres more space type fingerprint cool needs more work doesnt always read finger,4,-1
finger print scanner works great quick recognize keyboard very responsive being back lit awesome very bright,5,-1
equipment perfectly works tablet recommend product buyers microsoft surface,5,-1
great getting things done onscreen keyboard either obscures too much screen simply want tactile feedback actual keyboard use keyboards living so easy switch fingerprint unlock feature just great highly recommend product,5,-1
overall quality type keyboard improved very well no longer feels like bending type construction appears better time use tell,4,-1
big improvement over last keyboard surface,5,-1
would like see little more angle tilt position better backlighting indicate caplocks using dark environment,4,-1
key board just like would laptop poses nicely top cover surface,3,-1
bought convenience so smooth love,4,-1
very smooth keyboard must buy surface users,5,-1
best purchase life trying do remote apple product microsoft product thumbs down surface most phenomenal thanks,5,-1
finger print recognition cool feature latest surface pro 4 bought has face recognition so do look screen knows save 30 extra cost use face recognition,5,-1
stated earlier review has turned out great companion surface pro love fingerprinting module ease login good privacy makes easy type surface pro,5,-1
fingerprint scanner cute addition never use someone might enjoy rest works nice old keyboard press down key key magically transmits screen using power positive thinking bill gates manly aura,5,-1
best small keyboard ever love keys lighting up dark typing keys feel strong feel solid type,5,-1
if strong password fingerprint reader makes logging much easier,5,-1
having spaced out keys glass track pad very welcome changes pro keyboard,5,-1
keyboard works finefingerprint recognition works well,5,-1
finger print scanner works great keyboard lights awesome,5,-1
makes quick easy log onto surface another opportunity forget another password,5,-1
make so much easier access sp4not having sign everytime make huge differencehighly recommended,5,-1
works ya not special personally hate lack left right buttons thats way industry has gone unknown reason saves 35 cents brief use had quite zoomin gestures occur while attempting move click quickly im sure way disable pinch zoom gesture keyboardthe screen 2 inches away zoom therealso fingerprint havent used oncethe facial recognition unlock quicker easier probably greater degree accuracy now has depth sensing,5,-1
solid feel good key spacingbacklit keys nice plus use fingerprint reader quickly log onto either two accounts using different fingers,5,-1
new keyboard touch id works great surface pro3 easy install easy use daily basis job,5,-1
finger print scanner works great new layout makes full size keyboard real improvement,5,-1
surface pro type cover fingerprint id must surface pro great accessory,5,-1
like kb needs backlit cant use unless enough light,3,-1
own surface pro 3 purchased keyboard because touch id hello feature cover keyboard also better then pro 3 original keyboard fits great,4,-1
took while surface get point recognized each time started works great love backlighting wife asleep bed next im still working,4,-1
great keyboard had thought fingerprint scanner would somewhat gimmick use every time log into surface pro 3 backlit keyboard also great feature must suface pro,5,-1
easy attach tablet good size keys finger print id good idea,5,-1
keyboard nice well thought out spent extra money get cover fingerprint feature now got surface turned windows hello use camera mostly very convenient using device tablet without keyboard unlocking device chore camera not so much so now fingerprint feature lies mostly unused probably could saved money getting regular type cover not worth returning thoughthe keyboard nice pretty easy type little flexy not flat down type review am not great typer kind hunt peck typer so fact isnt full sized doesnt bother too much just wish somebody would make magnetic cover doesnt keyboard want protection want travel lightthe screen protectors mostly seem affect touchscreen sensitivity based reviews readin summation great keyboard depending security needs regular type cover might good enough not sure easy spoof either fingerprint scanner camera read article about researchers using normal injet printer spoof fingerprint readers technology race security sector,4,-1
buy type cover if own surface pro no brainer should periodthe keyboard really responsive comfort type very thin plus design works like cover surface pro really goodthe question then if one should model fingerprint id personally did do not regret itthe fingerprint id works really well really responsive logging windows super easy fast downside did not find apps normally use take advantage fingerprint id granted did not actively search rather than just checked if ones use would benefit yet seen though if more computers tablets reader more developers add function would love use loggin internet accounts exampleanyway purchase worth price keep mind might paying extra future benefit more than anything,4,-1
works great improved ergonomics over original surfacepro3 keyboard fingerprint recognition reliable efficient,5,-1
perfect accessory tablet must road warrior,5,-1
great keyboard nice feellook only negative thing having restart laptop because finger print scanner stops working time time dont know thats because keyboard surface,4,-1
so got new surface 4 itd crazy not keyboard keys springy bit clicky so dont think youre going type like ninja bummed only came black fingerprint id works well so worth trade off,4,-1
touch id also much improved than other laptops touch version not slide version,5,-1
excellent device very comfortable quiet well designed keyboard,5,-1
gotta say really impressed keyboard finger print security option nice very fast recognize print just fast iphone 6s plus,5,-1
nice keyboard works every time fingerprints cool,5,-1
great upgrade previous surface pro 3 keyboard fingerprint scanner bonus,5,-1
finger print reader nice addition keyboard,5,-1
works great best part biometric scanner,4,-1
love easy connect surface pro fingerprint recognition cool,5,-1
love not having sign just using finger print makes so much easier great product,5,-1
great product just doesnt seem work every time sometimes not often doesnt prompt swipe finger almost like dont fingerprint reader,4,-1
keyboard had before wasnt greatest until got one,5,-1
finger print id feature makes signing into windows effortless quick field technician dont always time type password,5,-1
especially like fingerprint id think more secure than just password really great,5,-1
sp4 keyboard largely improved clickiness keys definitely something appreciate overall great typing experience keys well lit spaced comfortable typing while fingerprint reader does add extra layer security futureproofness doesnt otherwise add large improvements windows 10 has facial login youll likely use more often than having finger print reader can handy if extra bucks doesnt matter not,4,-1
fingerprint scanner works flawlessly logging like response keys glass trackpad better than most id prefer larger trackpad large hands compact profile works great otherwise other color choice would awesome id like kit uofm colors go blue,5,-1
if like tabletcomputer then must finger reader great,5,-1
go ahead protect surface yours use fingerprint reader keyboard save time logging surface took little bit practice learn press finger get just right reading now im using much faster than password,5,-1
great keyboard price fingerprint scanner works well would recommend,5,-1
keyboard comes hand just dont want type screen highly recommend touch id too,5,-1
very nice keyboard new fingerprint id took getting used works nicely recommended,5,-1
keyboard great love finger print scanner,5,-1
love convenience having keyboard although sometimes doesnt read finger print does fast easy,5,-1
keyboard lives up promises keys large easy use used fingerprint reader locks before poor results one works extremely well no complaints,5,-1
great keyboard nicely spaced keys good feel sound typing trackpad works way better than older versions fingerprint scanner makes very easy login just touch,5,-1
stiff supports typing lap backlight nice keys responsive finger id works really well,5,-1
using ms surface pro since first version always loved snap keyboard new keyboard microsoft superior ways original surface surface pro keyboards actual buttons slightly larger spread litter further apart allows premium typing experience find rates better than even laptops worked addition fingerprint reader great new feature being able take advantage windows hello very cool small pleasure touch keyboard surface gives personal hello makes day,5,-1
new keyboards great little roomier easier type speed without typos,5,-1
keyboard fits perfectly attaches magnetically surface works cover screen very good quality keys feel good touch touchpad great surface basically becomes laptop keyboard attached one has fingerprint reader works seamlessly windows hello log didnt like using camera log because insists logging continuously sometimes logged wasnt even looking camera fingerprint reader works much better,5,-1
great gift tablet computer one buy today,5,-1
like feel keys overall weight key board fingerprint id feature great quick sign like security provides however sometimes doesnt recognize print log old school password,4,-1
really like having keyboard enhance tablet use fits bill would prefer 10key extension extra computer not huge issue,4,-1
much better than surface pro 3 keyboard well worth upgrading,5,-1
works seems overpriced however does work advertised,4,-1
great product easy use no problems would certainly recommend,4,-1
great professional business environment only wish could pop out use tablet only,4,-1
deiced try out fingerprint edition im glad spent extra money very convenient lots good apps can utilize,5,-1
very good keyboard can scan finger instead regular log very smooth typing,5,-1
new fingerprint lock keyboard one main selling points surface pro four,5,-1
device makes signing such breeze would recommend everyone,5,-1
keyboard touch pad big upgrade over pro 3 one fingerprint reader works wonderfully windows 10 hello login takes less than second wake up recognize highly recommend dont get sp4 since has hello capable camera,5,-1
just starting buying these surfaces work well,5,-1
love new keyboard especially like fits surface pro 3 also love finger print scanner,5,-1
must surface 4 works very goodkeys responsive added protection screen protector close find finger print useless since surface has face recognition got same price regular keyboard wouldnt pay extra,4,-1
liked original surface keyboard one much better key spacing great touchpad more responsive best feature fingerprint reader alone worth upgrade,5,-1
keyboard not only makes surface pro laptop mode completely usable also acts cover screen can reversed act back tablet mode mouse pad flat finish glass so wont get normal worn look other mousepads great addition surface pro oh yes fingerprint option easy set up recognizes finger angle,5,-1
probably wouldnt get thumbprint one again dont really need,5,-1
touchpad slightly less accurate than would expected however overall great addition ms4 device,4,-1
typing tablet can rather challenging keyboard makes lot easier besides can instantly turn tablet into mini laptop keyboard bluetooth mouse keyboard quality very good prevents screen being scratched closed,5,-1
keyboard not wash dishes moisturizer skin fertilize lawn keyboard has nicer feel than original fingerprint reader works very well can also used trivet hot roasting pan once,5,-1
if get surface keyboard must so far had no issues docking undocking purchased keyboard fingerprint reader havent set up yet mouse seems work great while isnt standard keyboard typing seems reasonable good touch feel keys,5,-1
keyboard works very well im not impressed fingerprint id feature temperamental bit frustrating times,2,-1
purchased upgrade surface pro3 type cover spacing style keys new model far superior pro3 cover larger touchpad plus much better than original fingerprint reader works intermittently disconnecting keyboard reattaching usually jar back into functionality,4,-1
couldnt pick better keypad surface pro,5,-1
chose keypad extra security fingerprint scanner ive set camera fingerprint both work great,5,-1
fingerprint reader works well times camera does not recognize always connects unlike bluetooth magnetic catches work quick easy secure attachment,5,-1
love keyboard fingerprint scanner must easy type surface pro looks great just like having paper notebook,5,-1
surface pro 3 use work surface pro 4 personal sp4 type cover lot nicer than 3 key spacing feels better like added finger print sensor easier sign,5,-1
makes using tablet easier not used touchscreen technology yet just wish had number pad,5,-1
lot improvement cover keyboard would definitely recommend,5,-1
works very well only thing dont like keyboard has give not keys actual beybpard type pushes down so keyboard doesnt stay flat guess issue because thin,4,-1
works great attaches surface pro 4 fingerprint sensor works fast reliably,5,-1
did not expect like keyboard much do not good full keyboard very close,5,-1
fingerprint works perfect set up so easy had surface without key board difficult typing whole page world document number occasion had minimize keyboard one flexibility positioning everything works perfect,4,-1
love keys light up also love only light up use saves battery power reduces light pollution specifically got fingerprint scanner however facial recognition surface makes less important did still set up not used once though may nice using computer dark room only frustration cannot adjust tilt screen without using kick stand never realize may want do until dont lol has easy change positions form normal ones accommodate difference though so would not let deter,4,-1
looking something would work surface pro didnt tell wanna worry about compatibility issues works,5,-1
keyboard use travel device not heavy typing much better than onscreen kkeyboards,4,-1
flexible remove if needed also good typing alternative standard keyboard,5,-1
microsoft did phenomenal job creating type cover has decent key travel good track pad fingerprint sensor works well makes easier quickly get into os,5,-1
only open main screen does not open passwords,4,-1
got surface pro 3 bundle keyboard pen purchased both surface pro 4 keyboard new pen 4 tips keyboard fingerprint reader very convenient touch feel keys superior bundled keyboard,5,-1
purchased keyboard cover go surface pro 4 am extremely happy can type quickly cover could laptops keyboard only question people should ask whether fingerprint sensor worth additional cost would say very accurate fast love ability connect lastpass extension can literally fill complicated forms passwords touch finger small price pay convenience others may disagree,5,-1
nice keyboard keys backlit fingerid scanner great one touch no typing passwords pins,5,-1
microsoft cover keyboard easy use carry,5,-1
feels much more durable fingerprint scanner great only real issue if original docking station wont stay folded up,4,-1
great keyboard love fingerprint recognition,5,-1
very easy use love way dont charge use,5,-1
fingerprint scanner handy board itself protects screen well,5,-1
type cover not too bad looking dont like velvet like material seems little bit laggy overall good not great,3,-1
fingerprint feature awesome light flexible keyboard,5,-1
nice keyboard hardly adds weight surface pro allows type efficiently while staying comfortable fingerprint scanner nice works every time,5,-1
keyboard fits well surface pro expected feel much better than expected,5,-1
feels great attaches easily like fact practical,5,-1
purchased open box keyboard looked works like new definitely great upgrade keyboard surface pro 3 typing feel improved fingerprint unlock works fast easy,5,-1
nice design nice cover can open even flip other way keyboard,5,-1
mircosoft surface pro 4 keyboard wfingerprint technology works well no issues,5,-1
like fingerprint access option works well,4,-1
fingerprint reader cool option reason bit stronger than original keyboard like surface typing mobile has pain helps,4,-1
im having get used smaller keyboard than im used upside surface pro 4 can switch between laptop tablet instant,4,-1
admittedly havent tried very hard fix problem only get touch pad work every 5th try so makes almost slow typing password do want reiterate not yet tried research issue though,3,-1
bought keyboard extra glad did great helps protect surface would definitely consider must fingerprint security option makes signing easy,5,-1
nice keyboard find fingerprint scanner useful,5,-1
very useful light comfortable use instead typing screen make experience more enjoyable productive fingerprint handy helps avoid having type password everytime,5,-1
able get best keyboard little no money extre great deal,5,-1
so easy attach computerlove iwhen connected does not disconnect easy,5,-1
usually long passwords fact can get into laptop finger saves times,5,-1
love keyboard already new fingerprint add definitely interesting addition makes signing computer much quicker easier,5,-1
love microsoft surface pro 4 fingerprint cover easy set up works great surface pro 4 read reviews took chance little pricey well worth would recommend thanks best buy,5,-1
nice keyboard surface tablet can implemented needed,5,-1
perfect companion microsoft surface pro 4 need use laptop type paper,5,-1
fingerprint sensor works every time cover protects screen well,5,-1
very nice cover completes package surace pro,5,-1
easy use smart move choose one black colour matches well,5,-1
easy use both home work easier than surface 2,5,-1
love new surface pro cover durable fingerprint id wonderful face recognition great would recommend product everyone,5,-1
love way ms surface uses magnetic connection point keyboard also am extremely glad purchased one fingerprint login makes logging snap andthe keyboard doubles tablet cover,5,-1
perfect keyboard surface pro protect screen computer not being used closed,5,-1
use surface pro keyboard class take notes absolutely love,5,-1
stumbled upon keyboard opted pay extra convenience feature works quickly works very well using surface pro microsoft should just stop selling standard version sell only version instead highly recommend,5,-1
ok just hard use too different buttons use,4,-1
good not great feel like times buttons dont always work,4,-1
bought surface pro 4 only reason gave 4 stars am not sure not included computer absolutely required surface pro,4,-1
like fingerprint scan option not built into surface keyboard feels like well made,5,-1
little extra worth spend very convenient login fingerprint,5,-1
keyboard responsive well made keys right size shape depress depth large hands fingers moderately high dexterity backlit keyboard great feature poorly lit dark areas,5,-1
love material can detached whenever want especially want appear tablet fingerprint logs instantly occasions fingerprint unresponsive does not happen often great product,4,-1
best keyboard ive purchased surface pro yet backwards compatible surface pro 3 fingerprint reader works decent windows 10 sometimes surface pro doesnt see fingerprint reader go login easily corrected disconnecting reconnecting keyboard outside ive had no issues like feellayout much better than older generation keyboards touchpad great well nice change previous generation keyboard,5,-1
has finger print recognition so much faster great product,5,-1
bought type cover because last laptop had fingerprint reader really wanted able take advantage windows hello microsoft edge developers hopefully start taking advantage technology even though keyboard extremely thin just enough travel keys feel like typing real keyboard actually like way keys feel more than keys old laptop type cover essential accessory new surface extra 10 added benefit fingerprint reader cant beat,5,-1
exceptional keyboard think looks nice works nice acts non skid pad using tablet protects screen well,5,-1
due position security electronics often contain protected health information phii had mind purchased biometric keyboard microsoft surface pro 4so good news biometric meter does workmost timeat times biometric device shows error unable read message credits perhaps smudged reader screen typically quick fix wipe reader shirt sleeveprobably better wipeall works most time quicker way signon than entering 20 character passwordthe keyboard easily comes off tablet magnetized allowing keyboard angle compatible typing while inflight,4,-1
loving new keyboard surface pro 4 keys light up fingerprint scanner works great,5,-1
maybe thin just easy use regular keyboard,5,-1
son loves ability simply sign into new surface fingerprint,5,-1
really like fingerprint option makes signing so much faster,5,-1
great product security making surface pro more resilliant,4,-1
really nice keyboard well worth money feels just like laptop keyboard fingerprint scanner works great minimal effort setup,5,-1
although wasnt raving fan surface pro did enjoy keyboard great responsive tactile feedback touch id worked like charm,5,-1
found product very easy use activating finger print feature simple well,5,-1
keyboard has fingertip recognition works really well wish could record more than one finger tip though,5,-1
like can connect disconnect keyboard not way fits just right,5,-1
keyboard fingerprint id works great adds extra security table,5,-1
ive used other tablet keyboard were extremely frustrating keyboard great couple times ive accidentally touched mouse pad something flip different screen can come right back so not too bad overall love keyboard doesnt slow down,5,-1
light weight easy use doubles case easy take off,4,-1
works like charm very responsive fingerprint reader great addition,5,-1
fingerprint function works great no issues after month,5,-1
knew phones had fingerprint unlock options use had no idea had keyboards surface pros makes so easy log into laptop secure,5,-1
fits great great magnetic connection protects screen real keys keyboards completely flat bought husband one after used liked,5,-1
great work applications personal use allows fully maximize tablets potential,5,-1
like keyboard because wfingerprint work very well,5,-1
goes very well microsoft tablet has fetures need,5,-1
like keyboard so much better fingerprint sensor very handy passwords,5,-1
surfaces great tablets issues common used work environment id recommend people somewhat computer savvy,4,-1
keyboard great would definitely recommend since update surface takes away camera aspect good fingerprint scanner ability,5,-1
am enjoying product surface pro if microsoft can make universal keyboards compatible other non microsoft products like samsung sony apple etc can beat marketgood luck microsoft,5,-1
surface protype cover has one issue touch pad too easily activated during typing,4,-1
keyboard has worked perfectly touchid very useful am middle projects keep logging out surface also key backlite plus dark,5,-1
type cover works great surface pro 4 convenience fingerprint scanner worth extra cost,5,-1
easy hook up use travel lot no hassle bringing keyboard along,5,-1
love security pad fingerprint safety works well,5,-1
new keyboard just about perfecti really like fingerprint reader back up,5,-1
like feel keyboard above ive used love magnetic connector also offers great protection display,5,-1
bought basic type cover surface pro 4 because store out fingerprint reader realized quickly wouldnt happy without returned trading out one very happy decision,5,-1
bought one without finger print reader 2 ms hello great way login prefer fingerprint reader assign different fingers home work users so can instantly login either account just touch,5,-1
could not get very feature purchase keyboard cover work surface pro 3,1,-1
keyboard worked great first much prefer regular keyboard over one screen fit need however months into use surface pro stopped recognizing keyboard so now just cover am forced use onscreen keyboard not happy did online search resolve problem no answers found were helpful,2,-1
still not microsoft person easy use,4,-1
makes entering into surface pro much faster easier fingerprint reader works great long keep clean,4,-1
like type cover additional fingerprint id function,4,-1
happy ease use compatability works well tablet,5,-1
keyboard quiet love keys much better than last version loved one too,5,-1
great keyboard makes surface pro 4 right choice switrhc mac without missing mac,5,-1
love keyboard backlit keys great fingerprint id works great no problems so far,5,-1
im glad purchased keyboard cover attaches easily computer using 6 months had one incident became disassociated computer had look up problem do double reboot reassociated glad wish numbers were not just along top keyboard,4,-1
keyboard cover awesome types like normal keyboard easy attach detach desired fingerprint reader very quick,5,-1
type cover provides nice typing experience sp4 able mimic same experience provided notebook isnt quite well better than keyboards built into cheap notebooks not quite higher end notebooks do like can type angle flat prefer typing angle keys feel nice provide firm tactile feedback clicking also backlight turns automatically dim room type cover little flexible notice bounce typing isnt bad definitely better than keyboard 400 dell notebookthe trackpad could use work microsoft made bigger 4th iteration type cover along covering glass still feels somewhat cramped trackpad also noisy really noisy dont use im meeting instead touch screen use pen type cover protective can turn around completely can easily attached removed via magnetic connector bottom surface works definitely best solution market surface pro just dont expect perform same keyboard dell xps13 hp spectre x360the fingerprint scanner accurate works like charm just wrest finger sensor thats no swiping nonsense just works havent had problems rejecting finger because couldnt read itmost people fine regular type cover dont need fingerprint scanner windows hello uses face log works every surface pro 4 most people arent going benefit also scanning fingerprint windows hello accurate fast secure used fingerprint scanner three times two months ive owned surface pro 4 only because wasnt looking surface logging insave yourself money get regular type cover however people surface pro 3 should definitely upgrade logging fingerprint faster easier more secure than typing windows pin number every time new keyboard layout trackpad definitely improvement over type cover 3 upgrading type cover extend life surface pro 3 making easier wait surface pro 5 maybe even pro 6,5,-1
we bought three these use surface pro 4 tablets outstanding quality ruggedness size comfortable keys great tactile feel touchpad amazing we dont use fingerprint reader since windows 10 uses facial recognition we owned used quite while now working good new we plan buy more,5,-1
didnt know would feel about type key board having spent years laptop can say easy transition im very satisfied making move pro4 utilizing keyboard great product,5,-1
perfect keyboard surface pro definitely recommend,5,-1
microsoft surface pro keyboardcover fingerprint id very impressive ease one can immediately access computer breath fresh air,5,-1
