content,rating,helpfulness
"Installed light in my kitchen and my wife loves it. Not difficult to install however a second pair of hands to hold the light while one person connects the wires is best. I would definitely recommend putting the shades and bulbs in before you hang it as they are a little difficult to put on. The light is bright, however each light only lights up a small area as they are more like spot lights.The light I replaced was a three light ceiling fan with three 60 watt bulbs and they more evenly lit up my kitchen. That being said,I would still buy again.",4.0,-1
Used two in my kitchen as a primary light source -looks great and gives good lighting. I also have on a dimmer to achieve ambient lighting. Love the look!,4.0,-1
I purchased the burgundy red hoping to keep my gold and burgundy colors in my room. When it arrived I was horrified. It was the ugliest burnt orange color that I have ever seen. Wal-Mart told me no returns during this pandemic. so I'm stuck using this gross color in my burgundy and gold room. I usually have really good experiences ordering so this is a first for me.,1.0,1
"Went up easily on the wall. Glass shades are very attractive. Lighting looks better with frosted bulbs, but the included ones were spot lights. It is a little tricky to get bulbs into fixture, but hopefully won't have to do that too often.",4.0,-1
color in pictures shows a darker yellow.,2.0,1
We put 2 of these in our kitchen and they look great. You can point each lamp in any direction for custom lighting. One of the face plates was a little off with the hole placements but my husband was able to grind them to fit.,4.0,-1
"These are great sheets, especially for the price.  When we first opened the package I thought they were cheaply made since they were so light.  I was pleasantly surprised at how light and soft they are while being very well made.  They have held up well in the washer and dryer.  The best part for me is that they truly have deep pockets and fit our 16 inch mattress very easily.",5.0,-1
"The light is beautiful, easy to assemble and install. The shades and bulbs required nimble fingers to install, but neither are a major problem. Good product.",4.0,-1
"Not made very well. Way smaller than I thought it would be. Not very bright at all, I will have to install pot lights with this light. Honestly the only thing I like about this light is the looks of it. I got the black with blood red shade.",3.0,-1
Looks better than in the picture. Cool design and provides bright light.,4.0,-1
"Attaching rings, glass and bulb a little tricky, but doable.",4.0,-1
very pretty and very bright i have an old house and needed an electrician to install it took him a while to do it too,4.0,-1
Needed overhead light. This is perfect. Had an electrician install as he was doing other work in my home.,4.0,-1
I am pleased with the look of the light but it is not as sturdy as I would have expected for what I paid.,3.0,-1
love the contemporary design. Hate that I put it together by the picture on the box.,4.0,-1
This fixture looks great and is excellent value.,5.0,-1
"I have the 5-light fixture in my kitchen and the 3-light fixture in my hallway. They provide wonderful (adjustable) light and look great for their respecitve prices. HOWEVER, changing the bulbs is difficult as there is not enough room b/t bulb & shade to grasp bulb and twist. I found that wrapping a thin cloth around the spent bulb and using kitchen tongs to grasp & twist counter-clockwise was most successful.",4.0,-1
Really pretty and good shade,5.0,1
Very pleased with umbrella. Perfect size for our small patio. Just put it up so too soon to know how it will last.,5.0,-1
"I ORDERED A YELLOW  UMBRELLA, WHICH IS BEAUTIFUL. UNFORTUNATELY THE POLE CAME DENTED.",2.0,1
[This review was collected as part of a promotion.] This umbrella is AMAZING! The color Pacific Blue was the exact color I was looking for. The push tilt is easy to operate.,5.0,-1
"[This review was collected as part of a promotion.] Just received, so have no idea of durability. But umbrella seems to be just what we ordered",5.0,-1
Perfect addition to our pool area picnic table! Excellent quality quickly delivered!,5.0,-1
"this is my third purchase through Hayneedle. the customer service is outstanding, the delivery time is shockingly fast,no matter how large the item, you never wit more than a week for delivery. the caiber of the merchandise is 5 star. i bought a leather ottomonn with nail grommets trimming the bottom, looks like i purchased it from Ethan Allen, for only 200, amazing solid, top soft quality leather and color. i puirchased two market umbrellas, superior quality, beautiful rich color, solid base, much better than the previous ones i have from Pottery Barn.half the price. friendly, helpful, knowledgeable service team to talk to as well, amazing shopping site,..",5.0,-1
"[This review was collected as part of a promotion.] Easy to operate, well made and handsome. The only reason I gave only 4 stars is that based on product photos...I thought this umbrella came with a base.",4.0,-1
"This umbrella appears to be well made and has a sunbrella material shade. But this is not a 7.5 ft umbrella. It only measures 6'10"" when opened. And the sunbrella material appears to be of lesser quality (less dense) than other sunbrella material I have. Keeping the umbrella - but wondering how it is going to hold up...",3.0,-1
very nice other than the color,3.0,-1
Umbrella not as sturdy as expected.,3.0,-1
"[This review was collected as part of a promotion.] Everything about the umbrella is top notch in my book! It looks great, it operates smoothly, and it was a very good deal at 20% off plus free shipping! I specifically ordered this model because I desired an umbrella with a manual lift as opposed to a crank system, to avoid the breakage caused by over-cranking. Also, in that same category, I did not want a tilt system for the same reason - breakage. I am hoping this model will be around for years to come!",5.0,-1
"[This review was collected as part of a promotion.] Everything about this umbrella gets a top notch rating from me! It looks great, operates smoothly, and was a very good deal at 20% off plus free shipping! I should also mention that I was looking for an umbrella with the fewest moving parts, so as to avoid breakage, ie, no crank, but instead a manual lift, and no tilt on the pole either. Fills the bill nicely!",5.0,-1
Perfect Unbrella for our deck. Arrived very quickly.,5.0,-1
"We spent weeks trying to find white umbrellas with white poles, but found them either very expensive or flimsy! We like white as they are easy to bleach if stains appear and still look like new! Colored ones often fade or change color! These umbrellas were PERFECT! Such sturdy and well designed items were impossible to find in our area! They are ready right out of the box and have had no issues turning recent windy spring days!!! Wonderful product... We couldn't be happier!!",5.0,-1
I have three 11foot umbrellas in a row across my back yard. The umbrellas are beautiful and very high....I needed the height so I could bury them in the ground instead of using a stand that blows over. Blue Red Blue - 11 feet times 3 - it really is beautiful! The double vents should help with any breezes and the sunbrella fabric will keep them looking good.,5.0,-1
"It is a beautiful umbrella which arrived very quickly and without any issues. It is replacing a 21 year old 11 ft market umbrella with a wooden pole and sunbrella cover which was finally starting to show wear on the cover fabric. If this new one lasts as long as the old one did, that will be great. I really like the wind feature with 3 sections of fabric. It handles the Las Vegas winds nicely. I ordered a cover from CoverMates so it should last a long time.",5.0,-1
Umbrella was delivered ahead of schedule and was well packaged and arrived in great shape. Umbrella was exactly as described and the quality of construction is excellent.,4.0,1
Pulley system...opened the umbrella before placing it in the stand to test it.. FYI... this is a two person job as I almost crushed two fingers pushing in the lock button. Ended up with 2 chunks of shin from my fingers gone. I could not get it too open for some reason as easily previously I had. Searched web thinking I did something wrong. No results online showing how to open. Finally got the neighbor next door to help and got it open. Nice product but again 2 oeople,4.0,-1
"Material is nicer than I thought it would be, thicker. I like how the breeze goes through because it's often windy here on the river. I gave it a 4 because it has a tiny tear near the very top of the umbrella - almost like it was stretched too far and tore.",4.0,-1
"[This review was collected as part of a promotion.] Overall a very nice umbrella. Pluses are good quality manufacturing, nice design and provides good shade. Minuses, cord hangs free with no double hook to wind it around, small areas where the pattern of the fabric are missing resulting in white colorless strips that look like tears but actually have fabric there, it just missing the color pattern of the rest of the fabric.",4.0,-1
[This review was collected as part of a promotion.] Love these! Very sturdy and chic. We looked everywhere for umbrellas with white poles. These are beautiful. Look like hotel quality. The white olefin looks like it will hold up well and be easy to clean.,5.0,-1
This is the second California umbrella we have purchased. We are pleased with the quality of the product.,5.0,-1
"Being in the service industry, it is always a pleasure to encounter someone who truly understands what the term means. I would recommend Hayneedle to anyone that is looking for a great product and great SERVICE.",5.0,-1
"Have not had very long, but was very happy to find a white pole at a fair price. When we had it up it was sturdy and easy to tilt. We do cover and take in on very windy days so hope this will last awhile.",5.0,-1
"Outstanding, I love this umbrella! It's beautiful and made of quality material, It's perfect for.our back yard table where we enjoy a gorgeous view. I have shopped around and will only purchase this quality product from Hayneedle.",5.0,-1
[This review was collected as part of a promotion.] The fact that the pole is in two parts makes it easy to insert and remove from table. Color is great.,5.0,-1
[This review was collected as part of a promotion.] The vents and and high quality fabric sold me on this umbrella and I have not been disappointed.,5.0,-1
We have this umbrella out on the patio next to our party house..and everybody loves the color and quality.,5.0,-1
"[This review was collected as part of a promotion.] Everything about the umbrella is top notch in my book! It looks great, it operates smoothly, and it was a very good deal at 20% off plus free shipping! I specifically ordered this model because I desired an umbrella with a manual lift as opposed to a crank system, to avoid the breakage caused by over-cranking. Also, in that same category, I did not want a tilt system for the same reason - breakage. I am hoping this model will be around for years to come!",5.0,-1
"Use these umbrellas to provide shade for your backyard benches, and a splash of color for your landscape.",4.0,-1
"[This review was collected as part of a promotion.] Everything about this umbrella gets a top notch rating from me! It looks great, operates smoothly, and was a very good deal at 20% off plus free shipping! I should also mention that I was looking for an umbrella with the fewest moving parts, so as to avoid breakage, ie, no crank, but instead a manual lift, and no tilt on the pole either. Fills the bill nicely!",5.0,-1
Built well and looks great!,5.0,-1
"[This review was collected as part of a promotion.] Everything about the umbrella is top notch in my book! It looks great, it operates smoothly, and it was a very good deal at 20% off plus free shipping! I specifically ordered this model because I desired an umbrella with a manual lift as opposed to a crank system, to avoid the breakage caused by over-cranking. Also, in that same category, I did not want a tilt system for the same reason - breakage. I am hoping this model will be around for years to come!",5.0,-1
"bought this for my son, we got him a new mattress a few months ago and found that all his previous bed sheets no longer fit because his new mattress was alot thicker. got this because it said deep pockets, I'm happy to say this sheet is still on his bed, and hes a flip flopper at night. he loves the color as do I! I plan on getting him more in the future.",5.0,-1
"Very nice quality for the price. Held up really well in recent wind storm. Fabric seems to be nicer quality. Champagne color is a tan color, which I like.",5.0,-1
"[This review was collected as part of a promotion.] Everything about this umbrella gets a top notch rating from me! It looks great, operates smoothly, and was a very good deal at 20% off plus free shipping! I should also mention that I was looking for an umbrella with the fewest moving parts, so as to avoid breakage, ie, no crank, but instead a manual lift, and no tilt on the pole either. Fills the bill nicely!",5.0,-1
I love the color they r beautiful. we just finally opened the plastic that they came in n mouse turds fell out of the sheets. n I know my house does not have mice. n this was the first time opening the plastic. just warning everyone.,3.0,-1
Perfect Unbrella for our deck. Arrived very quickly.,5.0,-1
Perfect Unbrella for our deck. Arrived very quickly.,5.0,-1
"My daughter's new mattress was so thick, I was concerned I'd have a problem putting the fitted sheet on. The sheet went on easily and was taut enough to make everything smooth.",5.0,-1
I have three 11foot umbrellas in a row across my back yard. The umbrellas are beautiful and very high....I needed the height so I could bury them in the ground instead of using a stand that blows over. Blue Red Blue - 11 feet times 3 - it really is beautiful! The double vents should help with any breezes and the sunbrella fabric will keep them looking good.,5.0,-1
I have three 11foot umbrellas in a row across my back yard. The umbrellas are beautiful and very high....I needed the height so I could bury them in the ground instead of using a stand that blows over. Blue Red Blue - 11 feet times 3 - it really is beautiful! The double vents should help with any breezes and the sunbrella fabric will keep them looking good.,5.0,-1
"It honestly took me probably an hour of searching to find this exact sheet set for the right color and when it arrived I was not only so pleased that the color was perfect, to find out the quality Is better than I hoped for is amazing! And the price is absolutely unbeatable :-)And the price is absolutely unbeatable :-)...",5.0,-1
Umbrella was delivered ahead of schedule and was well packaged and arrived in great shape. Umbrella was exactly as described and the quality of construction is excellent.,4.0,1
"It is a beautiful umbrella which arrived very quickly and without any issues. It is replacing a 21 year old 11 ft market umbrella with a wooden pole and sunbrella cover which was finally starting to show wear on the cover fabric. If this new one lasts as long as the old one did, that will be great. I really like the wind feature with 3 sections of fabric. It handles the Las Vegas winds nicely. I ordered a cover from CoverMates so it should last a long time.",5.0,-1
"Beautiful blue color for a sky-themed bed. Fits over our 18"" corners. Color holds well through washes. Very nice weight and cool, smooth feel. Surprised at the nice quality for the price!",5.0,-1
Pulley system...opened the umbrella before placing it in the stand to test it.. FYI... this is a two person job as I almost crushed two fingers pushing in the lock button. Ended up with 2 chunks of shin from my fingers gone. I could not get it too open for some reason as easily previously I had. Searched web thinking I did something wrong. No results online showing how to open. Finally got the neighbor next door to help and got it open. Nice product but again 2 oeople,4.0,-1
"Being in the service industry, it is always a pleasure to encounter someone who truly understands what the term means. I would recommend Hayneedle to anyone that is looking for a great product and great SERVICE.",5.0,-1
"These are sold as sized for a California King bed but the sewing makes them too tight to fit without great difficulty and they keep coming loose.
Cannot recommend for the advertised size but maybe for a smaller bed.",3.0,-1
"Material is nicer than I thought it would be, thicker. I like how the breeze goes through because it's often windy here on the river. I gave it a 4 because it has a tiny tear near the very top of the umbrella - almost like it was stretched too far and tore.",4.0,-1
Umbrella was delivered ahead of schedule and was well packaged and arrived in great shape. Umbrella was exactly as described and the quality of construction is excellent.,4.0,1
"I love these! They are the perfect color, and they stay in the bed even with my husband, a violent roller, and a dog that will fight you for the blankets. It's been a week and I haven't had to put the sheets back on the bed once, and with the old sheets it was a daily thing. They are also very soft and comfortable. Love them!",5.0,1
"[This review was collected as part of a promotion.] Overall a very nice umbrella. Pluses are good quality manufacturing, nice design and provides good shade. Minuses, cord hangs free with no double hook to wind it around, small areas where the pattern of the fabric are missing resulting in white colorless strips that look like tears but actually have fabric there, it just missing the color pattern of the rest of the fabric.",4.0,-1
"This is an amazing pan, do follow direction and wash in warm soapy water and heat pan afterwards,  and man it cooks very well and quickly, heavy pan  as well if you can handle that, but very well made and awesome, and it's got a great finish. And yes bottom will scratch right away on coikd burners. But thats to be expected.. Definatley worth the buy and a great price as well.",5.0,1
Pulley system...opened the umbrella before placing it in the stand to test it.. FYI... this is a two person job as I almost crushed two fingers pushing in the lock button. Ended up with 2 chunks of shin from my fingers gone. I could not get it too open for some reason as easily previously I had. Searched web thinking I did something wrong. No results online showing how to open. Finally got the neighbor next door to help and got it open. Nice product but again 2 oeople,4.0,-1
"I washed the bedding before I put it in our new bed, as I always wash everything before I use it. The sheets and pillow cases washed and dried very nice. I put them on my new bed and they are a perfect fit. The sheets are so nice and soft and stay in place.",5.0,1
I like The umbrella. The description does not say that there is no lift for the umbrella. Generally this style would have a rope type lift that you pull it up with. I will Not purchase this umbrella again for this reason. It very difficult for a lady to open it. I can not seem to find any way to attach a rope either.,3.0,-1
"Love this pan size!  This is perfect for making things for my large family and packages of noodles.  It is so nice to have an in between size pan so I didn't need to use huge pans for things that didn't fit in the typical pans that come in a prepackaged assortment.  These pans are sturdy and well made.  The design is awesome and they all fit super well in small spaces.  My cabinets look organized even though I have a ton of large pans, best design ever!",5.0,-1
"Material is nicer than I thought it would be, thicker. I like how the breeze goes through because it's often windy here on the river. I gave it a 4 because it has a tiny tear near the very top of the umbrella - almost like it was stretched too far and tore.",4.0,-1
"these sheets are awesome. My husband works nights sleeps during the day.  His body temp is usually very high  and it is nice to have a sheet that will keep him cool while he sleeps as well as keep me warm at night while I sleep. Not  fond of the flap on the pillow case, but nothing fits our new cooling pillows anyway.",5.0,1
"It is a beautiful umbrella which arrived very quickly and without any issues. It is replacing a 21 year old 11 ft market umbrella with a wooden pole and sunbrella cover which was finally starting to show wear on the cover fabric. If this new one lasts as long as the old one did, that will be great. I really like the wind feature with 3 sections of fabric. It handles the Las Vegas winds nicely. I ordered a cover from CoverMates so it should last a long time.",5.0,-1
This was better than I expected.  You can hold the lid with the handle of the pan. And the lid has drain holes for the liquids.,5.0,-1
"[This review was collected as part of a promotion.] Overall a very nice umbrella. Pluses are good quality manufacturing, nice design and provides good shade. Minuses, cord hangs free with no double hook to wind it around, small areas where the pattern of the fabric are missing resulting in white colorless strips that look like tears but actually have fabric there, it just missing the color pattern of the rest of the fabric.",4.0,-1
"The sheets are very nice - so soft and cuddly to snuggle into at the end of the day.  They washed up great, wrinkled just a bit but very nice sheets.  Unfortunately, the color I ordered (kinda like a deep beige) were downright ugly but they're just for sleeping so I'm okay with that.  One of my favorite set of sheets for sleeping on.",5.0,1
"[This review was collected as part of a promotion.] Nice quality, fits perfect over my 3 x 6 dining table. Color is a bit brighter than I expected, but blends with the rest of our patio accessories. I am hoping the better fabric used on this umbrella will outlast the less expensive polyester umbrellas.",5.0,-1
It is the perfect size and I love the pouring feature.,5.0,-1
"Outstanding, I love this umbrella! It's beautiful and made of quality material, It's perfect for.our back yard table where we enjoy a gorgeous view. I have shopped around and will only purchase this quality product from Hayneedle.",5.0,-1
"Very soft! I don't care for microfiber, but this is a great exception. It fits a tall mattress well, and was the exact color I was wanting to match my comforter, and it's been through the wash dozens of times with no fade. Dog and cat claws have yet to cause harm to it as well. So glad I went against my ""no microfiber"" rule for these sheets!",5.0,1
"Being in the service industry, it is always a pleasure to encounter someone who truly understands what the term means. I would recommend Hayneedle to anyone that is looking for a great product and great SERVICE.",5.0,-1
"Great quality, heavy and sturdy, works great.",5.0,-1
[This review was collected as part of a promotion.] The fact that the pole is in two parts makes it easy to insert and remove from table. Color is great.,5.0,-1
"this sheet is  not  a deep pocket set as the pockets are only 10"" which is just regular size.  I needed a deep pocket set over 16"". I have not tried them on the bed as unless they are made differently they just won't fit over my deep mattress.  I waited   a long time for them to get here  and now they are wrong.   I have purchased at the store the deep pocket sheets so I know they are  just wrong. so disappointed.",1.0,-1
"Outstanding, I love this umbrella! It's beautiful and made of quality material, It's perfect for.our back yard table where we enjoy a gorgeous view. I have shopped around and will only purchase this quality product from Hayneedle.",5.0,-1
Beautiful. And sturdy. Great value.  The initial in center is loose.  Had to buy contact cement to hold in place. Other than that it was great.. Lets see how long it lasts,5.0,-1
Awesome all around. The lids with the handles off the side are my favorite.,5.0,-1
[This review was collected as part of a promotion.] The vents and and high quality fabric sold me on this umbrella and I have not been disappointed.,5.0,-1
"I ordered two ""identical"" sets of the sheets.  One set was well made, soft and a great fit.  The other set was made from a cheaper fabric, not elasticized like the other one and not as good a fit.   I would recommend the better set, but not the cheaper one!",3.0,-1
[This review was collected as part of a promotion.] The fact that the pole is in two parts makes it easy to insert and remove from table. Color is great.,5.0,-1
Its a perfect mat for my front door! I love it!,5.0,-1
Gorgeous! I hope to buy some more pieces in this stackable style.,5.0,-1
"Use these umbrellas to provide shade for your backyard benches, and a splash of color for your landscape.",4.0,-1
"The description says the sheet fits up to an 18 inch mattress. My mattress is 18 inches. It does go on and stay put, for the most part, bit it does slide up the side of the mattress occasionally. Its possible thats due to my vinyl mattress protector being a little slick. The only thing that bugs me and isnt even really a problem is the elastic band doesn't be go completely under the mattress all the way around. It tucks on the corners but not the middle portions of each side. It could be my ocd or the fact that the sheet isn't deep enough. The sheet set is super comfy and my boyfriend, who doesn't even like a top sheet, now sleeps under this one because it feels great.",4.0,-1
[This review was collected as part of a promotion.] The vents and and high quality fabric sold me on this umbrella and I have not been disappointed.,5.0,-1
Lovely doormat for front entry. Design is great and does not get soaked when raining. Gave this as a gift and they loved it!! It also came with a bonus insert!! Wow!!,5.0,-1
Not only can you drain liquid from food-but it vents to prevent boil over.  Love the entire collection of the space saving pans.  This is my favorite pan ever because of the strain feature.,5.0,-1
Built well and looks great!,5.0,-1
"These sheets looks very nice and appear to be well made. I just put them on the bed yesterday. They fit well and were comfortable to sleep on. My only concern is that the fabric is very thin.  It doesn't feel like they will last very long  but I wont know that for a while.  For the price, I think it was worth a shot!",4.0,-1
"Use these umbrellas to provide shade for your backyard benches, and a splash of color for your landscape.",4.0,-1
My home monogram door mat was delivered as expected (prompt) and I am so happy. It's sturdy and durable and the color is nice and rice. I was very pleased with the price. I've received so many compliments,5.0,-1
Great item and a great price!!!,5.0,-1
"Over all a good buy, but I waited over two weeks to get this.",2.0,-1
"So far, so good.  The color is perfect and they are very soft.  Only minor downside that I didn't think about is that there are 2 pillowcases.  I ordered king size and have 4 standard pillows rather than 2 king size.  I supplement with 2 contrasting pillowcases.  Sometimes microfiber sheets end up getting ""pilly"" but these show good promise!",5.0,-1
Built well and looks great!,5.0,-1
"This is a great doormat!  It's bigger than I expected, even though I knew the dimensions.  I love it!  It fits perfectly in front of the door.  We drilled some holes in the rubber underneath the coir insert so it can drain.  Works great!  I also ordered the doormat inserts from Von Maur.  Perfect way to accessorize for the holidays!  Love, love, love it!",5.0,-1
good quality for a great price...since we live at the beach we needed a double vent at our pool and you won't find one at a better price in a variety of colors...the only downside is it is a pull up and not a crank,4.0,-1
Love the color. The sheets are comfortable and soft.  I didnt really care for the flap on the pillow cases. The sheets did wash and dry nicely.,5.0,-1
"Over all a good buy, but I waited over two weeks to get this.",2.0,-1
This mat brighten up by porch and I get compliments from visitors,5.0,-1
Great quality for the moneys,5.0,-1
"Absolutely LOVE THEM!! They are so soft, straight out of the package without washing first!! They are so soft, comfortable, and cool I don't want to get out of bed... and don't for hours on days I don't have to get up!!",5.0,-1
good quality for a great price...since we live at the beach we needed a double vent at our pool and you won't find one at a better price in a variety of colors...the only downside is it is a pull up and not a crank,4.0,-1
I like the mat...I just wish the letter monogram stayed in place (it tends to turn/spin).  Other than that it functions well and looks great.,4.0,-1
"So good I ordered a second set . Best is the very deep pockets . Second is that they are soft , and cool .Third is the great price. Fourth , t g ey are made well.",5.0,-1
"ON MY PATIO IT IS PERFACT JUST THE SIZE I NEEDED COLOR WAS GREAT, HEAVY, STRONG, WORTH THE MONEY",5.0,-1
"This mat is pretty awesome. The size is nice and big but not too big. It feels nice and thick and seem slike it will hold up well. The letter is so nice looking.  I would have given it a 5 star rating if the letter was attached to the mat.  Its a round disk that can lift out of the center and moves around a big. I understand that it was made this way to be able to customize it, but now I have to figure out what will glue it down and make sure I get it center and make sure it will hold up to the elements. Other than that I really love it and would buy it again.",4.0,-1
I've been using for 2-1/2 months now and am still pleased with these sheets.  They are very thin which is fine with me since I live in Florida but I'm not sure if they'll last long because of the thinness.  We shall see!!,4.0,-1
Looks great on our party house patio,5.0,-1
The mat was prettying much as described. It was heavy and solid and will serve the purpose well. The buying and delivery process was smooth. The only thing I didn't care for was the fact that the letter was e chose was a separate piece of material that fits into the circle of the mat. It is not attached. It has not caused a problem but was not what I was expected.,4.0,-1
Customer service was very helpful.,3.0,-1
The monogram is a loose piece that comes out. It moves around from side to side and doesn't stay straight.  I was very dissatisfied with the inferior quality for the money.  The monogram can easily fall out,2.0,-1
I bought this for our party park patio. Beautiful color and quality! Guests are loving it!!,5.0,-1
It was exactly as expected. Very high quality,5.0,-1
Great coverage for my entire 6 chair patio setting.,5.0,-1
"Really like this doormat.  Only a couple of issues, prevents 5 stars: The H monogram is off centered, guess my OCD, and then monogram is not glued to the mat.  Not sure why?  Emailed company and got auto response, but no follow-up yet.",4.0,-1
Love this umbrella.,4.0,-1
"Perfect size! 36” is too small and 48” is too big. This 41” mat is just right. I love the rubber material, lets the water drain and doesn't stay wet. The middle coir letter isn't glued down so I can change it out if I want.",5.0,-1
This is a perfect umbrella. The tilt is simple and easy.,5.0,-1
Mat has enough weight to keep it from blowing off my covered porch.  Runner surrounding the initial is substantial and well finished.  The initial disc (removable) can be replaced with a second disc provided with my mat.,5.0,-1
good quality for a great price...since we live at the beach we needed a double vent at our pool and you won't find one at a better price in a variety of colors...the only downside is it is a pull up and not a crank,4.0,-1
Have had for 9 months.  Holding up nicely.  Would recommend.,5.0,-1
The quality of the umbrella is great and the price is wonderful. It shipped fast. Very happy with this purchase.,5.0,-1
"Beautiful doormat for our front door. Nice size, and sturdy rubber material. The mat is exactly as pictured.",5.0,-1
It was hard to find the right umbrella this year. Hayneedle worked with me to get the exact item I wanted.,5.0,-1
Very high quality at an affordable price.,5.0,-1
Great quality for the moneys,5.0,-1
Great quality for the moneys,5.0,-1
